grdc_no,lon,lat
447,-24.75,81.75
448,-24.25,81.75
449,-23.75,81.75
450,-23.25,81.75
451,-22.75,81.75
452,-22.25,81.75
453,-20.75,81.75
454,-20.25,81.75
455,-19.75,81.75
456,-19.25,81.75
457,-18.75,81.75
458,-18.25,81.75
459,-17.75,81.75
460,-17.25,81.75
461,-16.75,81.75
462,-16.25,81.75
463,-15.75,81.75
464,-15.25,81.75
465,-14.75,81.75
466,-14.25,81.75
467,-13.75,81.75
468,-13.25,81.75
469,-12.75,81.75
470,-12.25,81.75
471,-95.75,81.25
472,-95.25,81.25
473,-94.75,81.25
474,-94.25,81.25
475,-93.75,81.25
476,-93.25,81.25
477,-92.75,81.25
478,-92.25,81.25
479,-91.75,81.25
480,-90.25,81.25
481,-89.75,81.25
482,-89.25,81.25
483,-88.75,81.25
484,-88.25,81.25
485,-87.75,81.25
486,-87.25,81.25
487,-86.75,81.25
488,-86.25,81.25
489,-85.75,81.25
490,-85.25,81.25
491,-84.75,81.25
492,-84.25,81.25
493,-83.75,81.25
494,-83.25,81.25
495,-82.75,81.25
496,-82.25,81.25
497,-81.75,81.25
498,-81.25,81.25
499,-80.75,81.25
500,-80.25,81.25
501,-79.75,81.25
502,-79.25,81.25
503,-78.75,81.25
504,-78.25,81.25
505,-77.75,81.25
506,-77.25,81.25
507,-76.75,81.25
508,-76.25,81.25
509,-75.75,81.25
510,-75.25,81.25
511,-74.75,81.25
512,-74.25,81.25
513,-73.75,81.25
514,-73.25,81.25
515,-72.75,81.25
516,-72.25,81.25
517,-71.75,81.25
518,-71.25,81.25
519,-70.75,81.25
520,-70.25,81.25
521,-69.75,81.25
522,-69.25,81.25
523,-68.75,81.25
524,-68.25,81.25
525,-67.75,81.25
526,-67.25,81.25
527,-66.75,81.25
528,-66.25,81.25
529,-65.75,81.25
530,-65.25,81.25
531,-64.75,81.25
532,-64.25,81.25
533,-63.75,81.25
534,-63.25,81.25
535,-62.75,81.25
536,-62.25,81.25
537,-61.75,81.25
538,-61.25,81.25
539,-60.75,81.25
540,-60.25,81.25
541,-59.75,81.25
542,-59.25,81.25
543,-58.75,81.25
544,-58.25,81.25
545,-57.75,81.25
546,-57.25,81.25
547,-56.75,81.25
548,-56.25,81.25
549,-55.75,81.25
550,-55.25,81.25
551,-54.75,81.25
552,-54.25,81.25
553,-53.75,81.25
554,-53.25,81.25
555,-52.75,81.25
556,-52.25,81.25
557,-51.75,81.25
558,-51.25,81.25
559,-50.75,81.25
560,-50.25,81.25
561,-49.75,81.25
562,-49.25,81.25
563,-48.75,81.25
564,-48.25,81.25
565,-47.75,81.25
566,-47.25,81.25
567,-46.75,81.25
568,-46.25,81.25
569,-45.75,81.25
570,-45.25,81.25
571,-44.75,81.25
572,-44.25,81.25
573,-43.75,81.25
574,-43.25,81.25
575,-42.75,81.25
576,-42.25,81.25
577,-41.75,81.25
578,-41.25,81.25
579,-40.75,81.25
580,-40.25,81.25
581,-39.75,81.25
582,-39.25,81.25
583,-38.75,81.25
584,-38.25,81.25
585,-37.75,81.25
586,-37.25,81.25
587,-36.75,81.25
588,-36.25,81.25
589,-35.75,81.25
590,-35.25,81.25
591,-34.75,81.25
592,-34.25,81.25
593,-33.75,81.25
594,-33.25,81.25
595,-32.75,81.25
596,-32.25,81.25
597,-31.75,81.25
598,-31.25,81.25
599,-30.75,81.25
600,-30.25,81.25
601,-29.75,81.25
602,-29.25,81.25
603,-28.75,81.25
604,-28.25,81.25
605,-27.75,81.25
606,-27.25,81.25
607,-26.75,81.25
608,-26.25,81.25
609,-25.75,81.25
610,-25.25,81.25
611,-24.75,81.25
612,-24.25,81.25
613,-23.75,81.25
614,-23.25,81.25
615,-22.75,81.25
616,-22.25,81.25
617,-21.75,81.25
618,-21.25,81.25
619,-20.75,81.25
620,-20.25,81.25
621,-19.75,81.25
622,-19.25,81.25
623,-18.75,81.25
624,-18.25,81.25
625,-17.75,81.25
626,-17.25,81.25
627,-16.75,81.25
628,-16.25,81.25
629,-15.75,81.25
630,-15.25,81.25
631,-14.75,81.25
632,-14.25,81.25
633,-13.75,81.25
634,-13.25,81.25
635,-12.75,81.25
636,-96.25,80.75
637,-95.75,80.75
638,-95.25,80.75
639,-94.75,80.75
640,-94.25,80.75
641,-93.75,80.75
642,-93.25,80.75
643,-92.75,80.75
644,-92.25,80.75
645,-91.75,80.75
646,-91.25,80.75
647,-90.75,80.75
648,-90.25,80.75
649,-89.75,80.75
